id,title,original_language,tagline,release_date,popularity,vote_count,vote_average,budget,revenue,runtime,release,genre_names
760161,Orphan: First Kill,en,There's always been something wrong with Esther.,2022-07-27,5088584,902,6.9,0,9572765,99,True,Horror; Thriller
760741,Beast,en,Fight for family.,2022-08-11,2172338,584,7.1,0,56000000,93,True,Adventure; Drama; Horror
882598,Smile,en,"Once you see it, it’s too late.",2022-09-23,1863628,114,6.8,17000000,45000000,115,True,Horror; Mystery; Thriller
756999,The Black Phone,en,Never talk to strangers.,2022-06-22,1071398,2736,7.9,18800000,161000000,103,True,Horror; Thriller
772450,Presences,es,,2022-09-07,1020995,83,7,0,0,0,True,Horror
1014226,Sonríe,es,,2022-08-18,939712,1,1,0,0,0,True,Horror; Thriller
717728,Jeepers Creepers: Reborn,en,Evil Rides Again,2022-09-15,821605,125,5.8,20000000,2892594,88,True,Horror; Mystery; Thriller
762504,Nope,en,What’s a bad miracle?,2022-07-20,733112,1684,7,68000000,170800000,130,True,Horror; Mystery; Science Fiction; Thriller
927341,Hunting Ava Bravo,en,"""If I die, you die""",2022-04-01,574832,73,6.5,0,0,90,True,Action; Adventure; Crime; Drama; Horror; Mystery; Thriller; War
836225,The Exorcism of God,en,God and the Devil cannot exist in the same body.,2022-03-11,537252,637,7.3,1500000,0,98,True,Horror
801071,The Jack in the Box: Awakening,en,Once you open the box... you can't escape it.,2022-02-24,527579,157,6.4,0,0,89,True,Horror
852830,Torn Hearts,en,,2022-05-20,525876,39,6.1,0,0,97,True,Horror; Music; Thriller
758724,The Cellar,en,An ancient evil has awoken.,2022-03-25,513757,257,6.6,0,0,94,True,Horror; Mystery
816952,My Best Friend's Exorcism,en,True friendship is worth going to hell and back.,2022-09-29,501921,43,6.1,0,0,96,True,Comedy; Horror
755566,Day Shift,en,Some jobs really go for the throat.,2022-08-10,449683,1129,6.9,0,0,113,True,Action; Comedy; Fantasy; Horror
629015,Shut In,en,The will to live is found within.,2022-03-24,399436,224,7.2,0,304106,90,True,Horror; Thriller
661791,The Grandmother,es,Nobody will love you like I do.,2022-01-28,381305,272,5.9,0,0,100,True,Drama; Horror
945657,Titanic 666,en,,2022-04-15,372136,98,6,0,0,91,True,Horror; Thriller
871832,Visitor,es,Another reality. Other fears.,2021-02-11,358179,7,6.1,0,0,99,True,Horror
610253,Halloween Kills,en,Evil dies tonight.,2021-10-14,315027,1941,6.7,20000000,131647155,105,True,Horror; Thriller
864370,Incantation,zh,Do you believe in blessings?,2022-03-18,313282,339,6.9,0,5700000,111,True,Horror
756681,Veneciafrenia,es,,2022-04-22,302239,133,6.1,0,0,100,True,Horror
632727,Texas Chainsaw Massacre,en,The face of madness returns.,2022-02-18,293443,958,5.3,20000000,0,83,True,Horror; Thriller
646385,Scream,en,It's always someone you know.,2022-01-12,291196,1732,6.7,24000000,140000000,114,True,Horror; Mystery; Thriller
613093,Valley of the Dead,es,,2020-10-08,276369,201,6.3,0,0,101,True,Comedy; Horror; War
616820,Halloween Ends,en,,2022-10-12,270269,2,10,20000000,0,111,True,Horror; Mystery; Thriller
49690,Smile,it,Point. Shoot. Die.,2009-08-28,266502,16,3.9,0,0,119,True,Horror; Thriller
21208,Orphan,en,There's something wrong with Esther.,2009-07-24,265858,4403,7,20000000,77912251,123,True,Horror; Mystery; Thriller
825808,See for Me,en,Seeing is surviving.,2022-01-07,254809,110,6.1,0,0,92,True,Crime; Drama; Horror; Mystery; Thriller
